Код;Номер будинку;ВулицяКод;БалансоутримувачКод;ОбслуговуючаОрганізаціяКод;РайонКод
108204;100/2;799;102;199;5
109697;102/1;799;102;199;5
108944;103;799;102;199;5
108935;105;799;102;199;5
109680;106/2;799;102;199;5
108050;108/1;799;102;199;5
111980;11;799;102;184;5
109096;110;799;102;199;5
109070;112;799;102;199;5
109037;114/к1;799;102;199;5
109024;114/к2;799;102;199;5
200000;116;799;82;1;5
107471;118/к1;799;102;199;5
107253;118/к2;799;102;199;5
200006;118Б;799;102;146;5
107231;120/к1;799;102;199;5
107458;120/к2;799;102;199;5
107219;120/к3;799;102;199;5
107416;122/к1;799;102;199;5
107213;122/к2;799;102;199;5
107399;122/к3;799;102;199;5
108891;126/к1;799;102;199;5
108894;126/к2;799;102;199;5
108888;126/к3;799;102;199;5
108812;126/к4;799;102;199;5
107119;128;799;102;199;5
113186;13;799;102;184;5
113045;15А;799;102;184;5
111951;15б;799;102;184;5
111236;17;799;102;184;5
112980;17А;799;102;184;5
111607;17Б;799;102;184;5
130856;19;799;102;184;5
110817;23;799;102;184;5
110818;25;799;102;184;5
112538;46/1;799;102;115;5
112297;46А;799;102;115;5
111060;48;799;102;115;5
113349;5;799;102;184;5
110052;70 к.2;799;102;115;5
109737;74;799;102;115;5
110020;74А;799;102;115;5
109675;82;799;102;115;5
109757;84;799;102;115;5
110605;86;799;102;115;5
109268;88;799;102;115;5
107739;89;799;102;199;5
113222;9;799;102;184;5
110340;90;799;102;115;5
109030;91;799;102;199;5
109177;92/1;799;102;115;5
110269;94/1;799;102;115;5
108656;94/2;799;102;115;5
108373;96/1;799;102;115;5
108965;97;799;102;199;5
108971;97А;799;102;199;5
108743;98/2;799;102;115;5
107215;99;799;102;199;5
290022;2;869;117;152;6
82924;11;826;1;181;1
82881;15А;826;1;181;1
83016;17;826;1;181;1
240022;21-Б;826;1;34;1
84160;21А;826;1;181;1
84162;25;826;1;181;1
240023;25-Г;826;1;34;1
88039;25А;826;1;181;1
82304;25Б;826;1;181;1
89676;25В;826;1;181;1
82794;27;826;1;181;1
240024;27-Г;826;1;34;1
84098;27Б;826;1;181;1
82587;27В;826;1;181;1
84085;39;826;1;181;1
88027;41;826;1;181;1
88026;43;826;1;181;1
90100;5;826;1;181;1
240025;5-А;826;1;34;1
240026;5-Б;826;1;34;1
88274;61;826;1;182;1
88273;63;826;1;182;1
90094;7;826;1;181;1
88628;7А;826;1;181;1
90095;7Б;826;1;181;1
240014;83;826;1;45;1
82528;87;826;1;182;1
82242;87А;826;1;182;1
82514;89;826;1;182;1
83949;89А;826;1;182;1
240028;9-Б;826;1;34;1
82194;93;826;1;182;1
240027;93-А;826;1;34;1
82517;97/5;826;1;182;1
83036;9А;826;1;181;1
82296;2;827;1;181;1
240029;2-А;827;1;34;1
32383;16/1;184;7;200;7
30968;16/2;184;7;200;7
31351;16/3;184;7;200;7
31335;16/4;184;7;200;7
32151;2;184;7;200;7
31281;4;184;7;200;7
30889;6;184;7;200;7
30910;8а;184;7;200;7
30908;8б;184;7;200;7
126140;3;214;103;108;3
126205;5;214;103;108;3
230000;3;851;28;1;7
34135;101;185;7;201;7
32600;101а;185;7;201;7
32628;101б;185;7;201;7
34148;103/1;185;7;201;7
32640;105/2;185;7;201;7
32558;107/2;185;7;201;7
34206;109а;185;7;201;7
32718;111;185;7;201;7
32613;2;185;7;200;7
31975;34;185;7;201;7
140086;36а;185;7;201;7
33071;37б;185;7;201;7
34795;39а;185;7;201;7
34792;39в;185;7;201;7
130036;39г;185;7;201;7
34796;39д;185;7;201;7
130037;39е;185;7;201;7
36095;39з;185;7;201;7
31528;4;185;7;200;7
36096;41а;185;7;201;7
130853;41б;185;7;201;7
33080;43/57;185;7;201;7
31546;4а;185;7;200;7
32232;52;185;7;201;7
32292;52а;185;7;201;7
34113;54;185;7;201;7
32586;56;185;7;201;7
32916;64а;185;7;201;7
32707;66;185;7;201;7
32936;68;185;7;201;7
34246;68а;185;7;201;7
32944;70;185;7;201;7
32297;89а;185;7;201;7
34096;89б;185;7;201;7
34106;91;185;7;201;7
34103;93;185;7;201;7
34119;95;185;7;201;7
32342;97/1;185;7;201;7
32598;99/2;185;7;201;7
67654;11/7А;726;104;214;4
67714;8-12;726;104;214;4
66626;9А;726;104;214;4
66187;11А;332;104;214;4
67076;11А'А'';332;104;214;4
66006;22аБ;332;104;214;4
67280;2Б;332;104;214;4
65945;2В;332;104;214;4
66136;2Г;332;104;214;4
65918;30;332;104;214;4
80866;34А;332;104;214;4
66175;3А;332;104;214;4
290023;7/19;870;117;152;6
76218;4;525;117;217;6
129986;4а;525;117;217;6
74610;4д;525;117;217;6
75891;7/19;525;117;217;6
49467;10;276;106;140;8
290886;10;276;106;140;
56675;11;276;106;139;8
56659;12;276;106;140;8
290887;12;276;106;140;
51959;13;276;106;139;8
48689;14;276;106;140;8
50004;15;276;106;139;8
290846;15;276;106;139;
50421;15-А;276;106;139;8
48637;16;276;106;140;8
50366;17;276;106;139;8
50518;18;276;106;140;8
56674;2/32 корп.1;276;106;139;8
52063;2/32 корп.2;276;106;139;8
50815;2/32 корп.3;276;106;139;8
50596;2/32 корп.4;276;106;139;8
51969;2/32 корп.4-А;276;106;139;8
50309;2/32 корп.5;276;106;139;8
50262;2/32 корп.6;276;106;139;8
50218;2/32 корп.7;276;106;139;8
52028;2/32 корп.8;276;106;139;8
290844;2/32,корп.2;276;106;139;
49132;20;276;106;140;8
290888;20;276;106;140;
51048;3;276;106;139;8
49595;35;276;106;140;8
50921;37;276;106;140;8
290889;37;276;106;140;
49185;39;276;106;140;8
49877;4;276;106;139;8
290845;4;276;106;139;
49951;4 корп.1;276;106;139;8
49156;41;276;106;140;8
49068;45;276;106;140;8
50395;47;276;106;140;8
55414;7;276;106;139;8
49594;8;276;106;140;8
290890;8;276;106;140;
55439;9;276;106;139;8
124683;15;390;103;108;3
125006;17;390;103;108;3
128272;5;391;103;108;3
290026;10;791;117;150;6
77980;10;791;117;225;6
290049;103;791;117;153;6
74768;103;791;117;211;6
290027;12;791;117;150;6
81389;12;791;117;225;6
290028;14;791;117;150;6
77733;14;791;117;225;6
290050;14А;791;117;150;6
77734;14а;791;117;225;6
290029;24;791;117;150;6
78680;24;791;117;225;6
290051;26А;791;117;150;6
77189;26а;791;117;225;6
290052;28А;791;117;150;6
78485;28а;791;117;225;6
290053;30А;791;117;150;6
76916;30а;791;117;225;6
77037;30б;791;117;225;6
290030;31;791;117;150;6
78547;31;791;117;225;6
290054;32-38;791;117;150;6
76962;32-38;791;117;225;6
290055;33А;791;117;150;6
78482;33а;791;117;225;6
290056;33Б;791;117;150;6
78546;33б;791;117;225;6
290031;35;791;117;150;6
77055;35;791;117;225;6
290032;40;791;117;150;6
76621;40;791;117;225;6
290033;42;791;117;150;6
76590;42;791;117;225;6
290034;44;791;117;150;6
76514;44;791;117;225;6
290035;47;791;117;150;6
77659;47;791;117;225;6
77880;47а;791;117;225;6
290036;48;791;117;150;6
76268;48;791;117;225;6
77619;49;791;117;225;6
290024;5;791;117;150;6
290037;52;791;117;150;6
76205;52;791;117;225;6
290038;53;791;117;150;6
76340;53;791;117;225;6
290039;55;791;117;150;6
77564;55;791;117;225;6
77555;57;791;117;225;6
76127;58/2а;791;117;225;6
77260;58/2б;791;117;225;6
290057;58/2в;791;117;150;6
77204;58/2в;791;117;225;6
290058;59-65;791;117;150;6
75814;59-65;791;117;225;6
290059;59А;791;117;150;6
77458;59а;791;117;225;6
79174;5а;791;117;225;6
79044;5б;791;117;225;6
77844;5в;791;117;225;6
290040;68;791;117;150;6
75489;68;791;117;225;6
290025;7;791;117;150;6
77976;7;791;117;225;6
290041;70;791;117;150;6
75878;70;791;117;225;6
290042;72;791;117;150;6
75795;72;791;117;225;6
290043;74;791;117;150;6
75354;74;791;117;225;6
290044;76;791;117;150;6
75355;76;791;117;225;6
290045;77;791;117;150;6
75364;77;791;117;225;6
290046;79;791;117;150;6
76532;79;791;117;225;6
290047;81;791;117;150;6
76478;81;791;117;225;6
290048;84;791;117;150;6
75441;84;791;117;225;6
290060;9В;791;117;150;6
77938;9в;791;117;225;6
290062;5А;871;117;151;6
290061;7-9;871;117;151;6
290063;7А;871;117;151;6
290064;9А;871;117;151;6
70289;1;92;117;219;6
70776;11;92;117;219;6
70786;13;92;117;219;6
71684;3;92;117;219;6
70310;5;92;117;219;6
70303;5-а;92;117;219;6
71692;5-б;92;117;219;6
70321;7-а;92;117;219;6
70353;7/9;92;117;219;6
70743;9-а;92;117;219;6
220063;7;867;11;1;10
30853;25;186;7;200;7
32375;3;186;7;200;7
30911;5;186;7;200;7
130451;11;69;10;62;9
210007;13в;69;10;1;9
11782;14-Б;69;10;73;9
12088;15;69;10;62;9
13521;16-В;69;10;73;9
210006;2а;69;10;1;9
13597;3-А;69;10;62;9
10235;39-Б;69;10;69;9
21432;4;69;10;73;9
10302;41;69;10;69;9
11432;43;69;10;69;9
12125;5;69;10;62;9
11792;7/15;69;10;62;9
130452;9/18;69;10;62;9
290074;10/18;872;117;153;6
290066;13;872;117;149;6
290067;15;872;117;153;6
290075;15А;872;117;153;6
290068;17;872;117;153;6
290069;21;872;117;153;6
290070;23;872;117;153;6
290071;26;872;117;149;6
290072;28;872;117;153;6
290076;28А;872;117;149;6
290073;34;872;117;153;6
290065;5;872;117;153;6
290077;23;980;117;150;6
290078;25;980;117;150;6
290079;29;980;117;150;6
70855;23;936;117;212;6
69714;25;936;117;212;6
71066;27;936;117;212;6
71098;27/3;936;117;212;6
70149;29;936;117;212;6
71086;29А;936;117;212;6
70413;8;936;116;27;6
290081;28;874;117;149;6
290082;30;874;117;149;6
290083;34;874;117;149;6
290084;36;874;117;149;6
290085;38;874;117;149;6
290080;4;874;117;153;6
73932;12;10;117;224;6
74431;28;10;117;224;6
73742;3/15а;10;117;211;6
73452;3/15б;10;117;211;6
74469;30;10;117;224;6
74486;32;10;117;224;6
74527;34;10;117;224;6
76103;36;10;117;224;6
74611;38;10;117;224;6
73697;4;10;117;211;6
76361;40;10;117;224;6
74231;8/10;10;117;224;6
12381;28;125;10;85;9
12382;28-В;125;10;85;9
22097;32;125;10;85;9
210005;3а;125;10;1;9
12704;5;125;10;64;9
12738;5-А;125;10;64;9
12775;5-Б;125;10;64;9
12905;5-В;125;10;64;9
14327;5-Е;125;10;64;9
13046;7-А;125;10;64;9
13008;7-Б;125;10;64;9
12859;7-В;125;10;64;9
12874;7-Г;125;10;64;9
12857;7-І;125;10;64;9
13138;9-А;125;10;64;9
12891;9-Б;125;10;64;9
13171;9-В;125;10;64;9
13191;9-Г;125;10;64;9
13146;9-З;125;10;64;9
29979;1;187;7;202;7
31368;10;187;7;202;7
31246;11/8;187;7;202;7
33675;12;187;7;202;7
31258;13/9;187;7;202;7
33676;15/20;187;7;202;7
31435;3;187;7;202;7
29988;4;187;7;202;7
33867;5;187;7;202;7
29963;6;187;7;202;7
31437;7/21;187;7;202;7
29897;9а;187;7;202;7
290086;26;406;117;155;6
71827;26;406;117;223;6
71826;28;406;117;223;6
72380;30;406;117;223;6
73292;34;406;117;223;6
73215;37;406;117;223;6
73210;37а;406;117;223;6
72385;37б;406;117;223;6
290087;37В;406;117;155;6
71881;37в;406;117;223;6
73224;37г;406;117;223;6
70403;12;6;116;27;6
70393;14;6;116;27;6
37159;100/31;63;11;191;10
41150;14;63;11;206;10
37288;16;63;11;206;10
130858;16-а;63;11;206;10
36508;20;63;11;206;10
130859;26;63;11;206;10
36578;26-а;63;11;206;10
39979;38;63;11;190;10
36218;4;63;11;206;10
41569;4-а;63;11;206;10
36700;40/11;63;11;190;10
38370;44;63;11;190;10
36776;46-а;63;11;190;10
37008;48-а;63;11;190;10
36992;50;63;11;190;10
36785;52;63;11;190;10
36848;52-а;63;11;190;10
38410;54-а;63;11;193;10
37001;54/21;63;11;190;10
39907;55;63;11;189;10
39909;55-в;63;11;189;10
39984;55-г;63;11;189;10
40180;56;63;11;193;10
130860;57;63;11;189;10
37157;58;63;11;193;10
40065;6;63;11;206;10
37002;61;63;11;189;10
36853;63;63;11;189;10
38387;65;63;11;189;10
39966;65-а;63;11;189;10
41495;66/21;63;11;193;10
41497;68;63;11;193;10
41496;70;63;11;193;10
40169;72/19;63;11;193;10
37047;73;63;11;189;10
36859;75;63;11;189;10
38391;79;63;11;189;10
35086;8;63;11;206;10
35368;8-а;63;11;206;10
35097;8-б;63;11;206;10
40108;80;63;11;191;10
37049;81/1;63;11;189;10
40157;82;63;11;191;10
36865;83/2;63;11;192;10
37170;84;63;11;191;10
41423;86;63;11;191;10
38442;88;63;11;191;10
37101;88-а;63;11;191;10
39959;89;63;11;192;10
40107;92;63;11;191;10
38439;92-а;63;11;191;10
37099;98/29;63;11;191;10
124144;11/2;374;103;109;3
122001;22/26;374;103;109;3
124190;32;374;103;109;3
124624;47;374;103;109;3
123266;49;374;103;109;3
122671;5;374;103;109;3
124083;5-А;374;103;109;3
123441;56;374;103;109;3
124390;56/2;374;103;109;3
123170;58/1;374;103;109;3
122685;1/2;316;103;111;3
121989;10/2;316;103;111;3
122051;11А;316;103;111;3
124121;11Б;316;103;111;3
122679;12;316;103;111;3
128452;13;316;103;111;3
122102;15;316;103;111;3
124143;17;316;103;111;3
124177;19А;316;103;111;3
122357;19Б;316;103;111;3
122348;21А;316;103;111;3
100003;21Б;316;103;111;3
122360;23/52;316;103;111;3
122745;3;316;103;111;3
122688;5А фас.;316;103;111;3
122744;5А фліг.;316;103;111;3
124102;5Б фас.;316;103;111;3
124118;5Б фліг.;316;103;111;3
100004;7;316;103;111;3
122047;9;316;103;111;3
124120;9Г;316;103;111;3
126517;1/36;354;103;110;3
128087;10;354;103;110;3
128388;11А;354;103;110;3
127152;12;354;103;110;3
128300;13;354;103;110;3
127362;14;354;103;110;3
127976;14А;354;103;110;3
127099;16;354;103;110;3
127712;3/12;354;103;110;3
126678;4;354;103;110;3
126747;5А;354;103;110;3
128393;11;386;103;110;3
127364;3;386;103;110;3
127365;5;386;103;110;3
127183;7;386;103;110;3
71234;23/2;38;13;60;6
71250;25;38;13;60;6
70039;4;38;117;212;6
71286;6;38;117;212;6
118001;60;38;117;212;6
118002;64;38;117;212;6
290088;7/2;38;117;150;6
70048;8;38;117;212;6
70136;10;472;117;212;6
71146;16;472;117;212;6
70162;20А;472;117;212;6
70166;24/1;472;117;212;6
71249;28/2;472;117;212;6
69896;3;472;117;212;6
69736;7/2;472;117;212;6
92883;10;536;105;126;2
93120;18;536;105;126;2
34281;1;30;7;185;7
33015;10;30;7;185;7
33014;11;30;7;185;7
34283;2;30;7;185;7
33013;3;30;7;185;7
34282;4;30;7;185;7
34278;5;30;7;185;7
130870;6;30;7;185;7
34279;7;30;7;185;7
32874;8;30;7;185;7
32872;9;30;7;185;7
89590;10;837;1;182;1
89588;12;837;1;182;1
87968;14;837;1;182;1
89589;16;837;1;182;1
240030;16-Б;837;1;45;1
82934;16А;837;1;182;1
82925;18;837;1;182;1
83021;20;837;1;182;1
30634;3;666;7;205;7
31136;7;666;7;205;7
29763;10;188;7;197;7
29863;16;188;7;197;7
29564;16а;188;7;197;7
34673;16б;188;7;197;7
29748;2;188;7;197;7
29905;20;188;7;197;7
31024;22б;188;7;197;7
34672;24б;188;7;197;7
31028;26;188;7;197;7
29561;30;188;7;197;7
30926;30а;188;7;197;7
33552;34а;188;7;197;7
33603;34б;188;7;197;7
33508;36-б;188;7;197;7
34833;36-в;188;7;197;7
33507;36-г;188;7;197;7
33551;38;188;7;197;7
28795;38а;188;7;197;7
29505;4;188;7;197;7
29794;6;188;7;197;7
230023;8;188;78;25;7
38382;10;65;11;190;10
36996;12;65;11;190;10
36957;14;65;11;190;10
36749;14-а;65;11;190;10
220030;18;65;11;54;10
36784;5-а;65;11;190;10
38392;6;65;11;190;10
36855;6-а;65;11;190;10
37038;6-б;65;11;190;10
36796;8;65;11;190;10
199999;6;789;105;138;2
290091;14;875;117;155;6
290094;23/8;875;117;155;6
290092;25;875;117;155;6
290095;27/9;875;117;155;6
290093;31;875;117;155;6
290089;4;875;117;155;6
290090;6;875;117;155;6
72594;14;423;117;223;6
71973;16;423;117;223;6
71400;18/7;423;117;223;6
71434;20;423;117;223;6
72573;21/5;423;117;223;6
71359;23/8;423;117;223;6
80435;23/8а;423;117;223;6
72587;25;423;117;223;6
71362;27/9;423;117;223;6
72604;31;423;117;223;6
71275;4;423;117;219;6
71341;6;423;117;219;6
124091;5;212;103;111;3
129790;7А;212;103;111;3
130850;7Б;212;103;111;3
122696;9/1А;212;103;111;3
129354;9/1А';212;103;111;3
129789;9/1Б;212;103;111;3
62271;11;599;104;213;4
62240;13;599;104;213;4
63498;15;599;104;213;4
62218;17;599;104;213;4
62206;19;599;104;213;4
63636;20;599;104;215;4
61728;22;599;104;215;4
62185;22а;599;104;215;4
63312;32;599;104;215;4
290099;13;876;117;150;6
290100;13А;876;117;150;6
290096;3;876;117;150;6
290097;4;876;117;150;6
290101;4А;876;117;150;6
290098;8;876;117;150;6
76729;10;437;117;225;6
77868;13;437;117;225;6
77607;13а;437;117;225;6
76707;3;437;117;225;6
76734;4;437;117;225;6
76926;4а;437;117;225;6
76703;7/11;437;117;225;6
77889;8;437;117;225;6
290102;10;932;117;149;6
77488;10;798;117;216;6
77071;5;798;117;216;6
78704;8;798;117;216;6
61235;7;606;104;215;4
62032;9А;606;104;215;4
41606;10;512;11;193;10
38596;12;512;11;193;10
37535;3;512;11;193;10
37678;4;512;11;193;10
41607;5;512;11;193;10
37520;6;512;11;193;10
220034;7а;512;11;96;10
40202;8;512;11;193;10
32442;9;193;7;200;7
55671;10;732;106;141;8
55670;12;732;106;141;8
51155;14;732;106;141;8
55672;4;732;106;141;8
290933;4;732;106;141;
52460;6;732;106;141;8
52354;8;732;106;141;8
290934;8;732;106;141;
44314;10;729;106;143;8
45211;11;729;106;143;8
291057;11;729;106;143;
44047;18;729;106;143;8
291058;18;729;106;143;
43943;20;729;106;143;8
45370;3-А;729;106;143;8
291059;4;729;106;143;
44392;4-А;729;106;143;8
44352;5;729;106;143;8
291060;5;729;106;143;
45319;5-А;729;106;143;8
44366;5-Б;729;106;143;8
45359;5-В;729;106;143;8
291061;5-В;729;106;143;
45378;6;729;106;143;8
44407;8;729;106;143;8
291062;8;729;106;143;
44148;9;729;106;143;8
44217;9-А;729;106;143;8
291063;9-А;729;106;143;
45259;9-Б;729;106;143;8
63277;12а;768;104;213;4
102738;1;549;105;125;2
97159;24а;549;105;125;2
97145;3;549;105;125;2
104028;5;549;105;125;2
126820;1;342;103;110;3
127802;10/15;342;103;110;3
126495;2/8;342;103;110;3
126802;4;342;103;110;3
127830;6;342;103;110;3
126758;8;342;103;110;3
290103;1;475;117;153;6
74434;1;475;117;211;6
75829;10/18;475;117;211;6
73946;13;475;117;211;6
75050;15;475;117;211;6
75073;15а;475;117;211;6
73480;17;475;117;211;6
75009;17а;475;117;211;6
73458;17б;475;117;211;6
73611;17в;475;117;211;6
73326;21;475;117;211;6
73179;23;475;117;211;6
74035;26;475;117;211;6
73923;28;475;117;211;6
74012;28а;475;117;211;6
75162;30;475;117;211;6
73874;32;475;117;211;6
75075;34;475;117;211;6
73532;36;475;117;211;6
74029;5;475;117;211;6
75553;7;475;117;211;6
74224;9;475;117;211;6
290001;6;979;16;1;6
68780;1/15;937;117;212;6
68664;10;937;117;212;6
68792;11А;937;117;212;6
69791;12;937;117;212;6
69824;12А;937;117;212;6
68734;12В;937;117;212;6
68573;12Г;937;117;212;6
69780;13;937;117;212;6
68590;13А;937;117;212;6
68386;14;937;117;212;6
68562;15;937;117;212;6
68372;17;937;117;212;6
68786;2/17;937;117;212;6
70100;2А;937;117;212;6
118003;3;937;117;212;6
70250;4;937;117;212;6
70086;5;937;117;212;6
68989;7;937;117;212;6
68675;8;937;117;212;6
69837;9;937;117;212;6
290104;12;979;117;150;6
84587;10;821;1;177;1
84720;14;821;1;177;1
84755;18;821;1;177;1
130445;2;821;1;175;1
240230;2-В;821;1;37;1
240031;2-Г;821;1;26;1
84681;20;821;1;177;1
240033;20-А;821;1;76;1
84676;2А;821;1;175;1
84578;4;821;1;175;1
240032;6;821;1;76;1
90917;6/1;821;1;177;1
86268;8;821;1;177;1
240034;8-А;821;1;76;1
52150;1;639;106;139;8
51697;2;639;106;139;8
51245;24;639;106;139;8
290849;24;639;106;139;
53351;3;639;106;139;8
51649;4;639;106;139;8
290847;4;639;106;139;
51707;5-А;639;106;139;8
290848;5-А;639;106;139;
123672;3;368;103;108;3
124076;6;368;103;108;3
124564;7/14;368;103;108;3
125580;8-а;368;103;108;3
113192;111;161;102;114;5
112033;119;161;102;114;5
110682;37/41;161;102;114;5
111771;40;161;102;114;5
111906;47/49;161;102;114;5
110918;53/30;161;102;114;5
31606;10;189;7;203;7
31599;11;189;7;203;7
33649;12;189;7;203;7
31671;13;189;7;203;7
30415;14;189;7;203;7
35151;15;189;7;203;7
31717;16;189;7;203;7
33651;17;189;7;203;7
29873;2/6;189;7;203;7
29914;4;189;7;203;7
230044;5;189;7;90;7
31372;5;189;7;203;7
33650;6;189;7;203;7
31478;7;189;7;203;7
63433;3;128;104;213;4
64610;19;754;104;213;4
47394;4;505;106;143;8
47056;52;505;106;143;8
55470;54;505;106;143;8
46516;70;505;106;143;8
45514;72/3;505;106;143;8
66490;16А;638;104;214;4
66500;16Б;638;104;214;4
66499;16В;638;104;214;4
67720;17/1А;638;104;214;4
66306;4А;638;104;214;4
66370;8/13А;638;104;214;4
66313;9/15А;638;104;214;4
23292;12 б;109;10;208;9
13671;12;109;10;208;9
17798;26;109;10;210;9
16181;28;109;10;210;9
14926;28А;109;10;210;9
15247;28Б;109;10;210;9
16066;28В;109;10;210;9
12681;3 гурт.;109;10;210;9
126810;3/1;109;10;210;9
126893;3/3;109;10;210;9
12689;3/3А;109;10;210;9
16640;30;109;10;210;9
22048;32А;109;10;210;9
17728;32Б;109;10;210;9
17777;32В;109;10;210;9
18050;34;109;10;210;9
16526;36;109;10;210;9
17055;38;109;10;210;9
12686;3А;109;10;210;9
12691;3Б;109;10;210;9
210008;3;856;10;1;9
210009;36;856;10;1;9
20117;7А;569;10;210;9
20119;7Б;569;10;210;9
66694;5А;607;104;214;4
67214;30;733;104;214;4
240035;1-Б;833;1;34;1
82239;1А;833;1;181;1
290020;14А;865;110;1;6
290105;2;865;117;156;6
73628;10;81;13;60;6
73426;10А;81;116;148;6
49472;117/125;81;106;144;8
48634;129/131;81;106;144;8
50444;133;81;106;144;8
73558;14-А;81;117;220;6
48805;143;81;106;144;8
291124;143;81;106;144;
48904;143-Б;81;106;144;8
48004;150;81;106;144;8
291125;150;81;106;144;
48005;152;81;106;144;8
291126;152;81;106;144;
140057;152-А;81;13;60;8
74654;16;81;116;148;6
56536;173/187;81;106;144;8
49211;174/32;81;106;144;8
47305;189;81;106;144;8
291127;189;81;106;144;
45991;195/43;81;106;144;8
73966;2;81;117;220;6
46530;202;81;106;144;8
46065;210;81;106;144;8
45947;212;81;106;144;8
75140;6;81;117;220;6
75124;8;81;117;220;6
51580;97-А корп.1;81;106;144;8
50126;97-А корп.2;81;106;144;8
291123;97-ак.1;81;106;144;
49714;99;81;106;144;8
52053;4;507;106;144;8
37621;10;190;11;165;10
29467;13;190;7;187;7
39061;14;190;11;165;10
220053;14б;190;11;1;10
29431;15;190;7;187;7
37751;16;190;11;165;10
39052;18;190;11;165;10
37600;18-а;190;11;165;10
39125;18-б;190;11;165;10
37757;20-а;190;11;165;10
37548;24;190;11;165;10
37545;26;190;11;207;10
220003;3;190;35;1;10
140001;30-а;190;11;207;10
37529;34;190;11;207;10
38877;34-б;190;11;207;10
37460;38;190;11;207;10
37783;4;190;11;165;10
37502;40;190;11;207;10
38585;42;190;11;207;10
38594;42-а;190;11;207;10
37412;44/2;190;11;207;10
37633;6;190;11;165;10
38545;7;190;11;207;10
37397;7-а;190;11;207;10
39071;8;190;11;165;10
140016;8-а;190;11;165;10
66624;10;651;104;214;4
66483;3А;651;104;214;4
67790;4;651;104;214;4
66690;5А;651;104;214;4
290106;6/10;139;117;156;6
74386;6/10;139;117;220;6
230001;2;781;86;1;7
40793;89;781;11;183;10
230063;"тягова підстанція ТП-4 метрополітену  ""Гідропарк""";781;81;1;7
140122;10 (гурт.);590;106;139;8
52263;10-А;590;106;139;8
52218;12;590;106;139;8
110234;10;42;102;115;5
108427;12К1;42;102;115;5
110243;12К2;42;102;115;5
110173;13;42;102;115;5
140018;3;42;102;115;5
108914;5;42;102;115;5
108664;6/6;42;102;115;5
140019;7;42;102;115;5
108598;8;42;102;115;5
108417;9;42;102;115;5
105339;3а;260;105;125;2
105341;3б;260;105;125;2
105340;3в;260;105;125;2
91674;5;260;105;125;2
89980;7;260;105;125;2
91659;9;260;105;125;2
270046;ЗВ;260;105;1;2
220039;3;112;11;56;10
37010;4;112;11;192;10
38373;6;112;11;192;10
36795;6-а;112;11;192;10
220004;7;112;79;1;10
36998;7-а;112;11;189;10
36960;9/40;112;11;189;10
31733;1;191;7;185;7
31690;10;191;11;206;10
29997;11;191;7;185;7
31553;12;191;7;185;7
31611;12а;191;7;185;7
31569;12б;191;7;185;7
35456;14;191;7;185;7
33923;16;191;7;185;7
29887;17;191;7;185;7
30076;18;191;7;185;7
31182;19;191;7;185;7
29598;21/9;191;7;202;7
29869;22/11;191;7;202;7
31095;23;191;7;202;7
29597;24;191;7;202;7
230002;24А;191;7;33;7
31092;26/8;191;7;202;7
33870;27;191;7;202;7
29808;27а;191;7;202;7
29809;28/15;191;7;202;7
29816;29;191;7;202;7
30404;3;191;7;185;7
33679;3;191;7;202;7
33680;31/13;191;7;202;7
29570;32/2;191;7;202;7
29761;33;191;7;202;7
29806;34/1;191;7;202;7
29558;35;191;7;202;7
29739;36;191;7;202;7
30934;38/14;191;7;202;7
30928;39;191;7;202;7
30476;4;191;7;185;7
30916;41;191;7;202;7
29499;43/12;191;7;202;7
30479;4а;191;7;185;7
30424;5;191;7;185;7
33875;6а;191;7;185;7
29752;7;191;7;202;7
31698;8;191;7;185;7
35363;8а;191;7;185;7
29742;9;191;7;202;7
92274;28;56;105;126;2
270187;28 ЛІТ.Б;56;105;1;2
91957;28б;56;105;126;2
91854;28в;56;105;126;2
130110;28г;56;105;126;2
270047;30;56;105;1;2
93731;30;56;105;126;2
270048;30А;56;105;1;2
92109;30а;56;105;126;2
270186;30А ЛІТ. Б;56;105;1;2
93331;30б;56;105;126;2
270049;32;56;105;1;2
92131;32;56;105;126;2
130109;34;56;105;126;2
91933;34а;56;105;126;2
92010;36;56;105;126;2
93451;38;56;105;126;2
91680;40;56;105;126;2
104047;42/43;56;105;126;2
92691;5а;56;105;126;2
99977;13;15;13;60;2
270044;13;15;79;1;2
101810;15;15;105;112;2
101786;15а;15;105;112;2
103309;16;15;105;112;2
101363;17;15;105;112;2
270188;17 Л1Т.Б;15;105;1;2
101616;2;15;105;112;2
102787;2а;15;105;112;2
102409;3;15;105;112;2
270189;3 ЛІТ.Б;15;105;1;2
101629;4;15;105;112;2
102849;4а;15;105;112;2
101620;5;15;105;112;2
101262;5а;15;105;112;2
102788;5б;15;105;112;2
101287;6а;15;105;112;2
270190;7ЛІТ.Б;15;105;1;2
101700;8;15;105;112;2
101293;8а;15;105;112;2
101690;9;15;105;112;2
108238;10;43;102;115;5
108213;12;43;102;115;5
108611;13;43;102;199;5
108709;3;43;102;199;5
108720;6/к1;43;102;115;5
108347;6/к2;43;102;115;5
109999;8/9;43;102;115;5
108746;8/к2;43;102;115;5
108229;9/10;43;102;199;5
128514;20;362;103;110;3
126189;12;348;103;108;3
127480;14;348;103;108;3
126185;17;348;103;108;3
127468;19;348;103;108;3
127582;21/17;348;103;108;3
29108;2;192;7;197;7
