id;name;old_name;name_display
355;;Мазепи Івана;Мазепи Івана
710;;Майбороди;Майбороди
893;;Майбороди Платона;Майбороди Платона
609;;Майкопська;Майкопська
976;Калнишевського Петра;Майорова Михайла;Калнишевського Петра / Майорова Михайла
840;;Майорова Михайла;Майорова Михайла
633;;Макаренка;Макаренка
714;;Макарівська;Макарівська
834;;Макіївська;Макіївська
286;;Мала Житомирська;Мала Житомирська
818;;Малиновського маршала;Малиновського маршала
242;;Малишка Андрія;Малишка Андрія
175;;Малокитаївська;Малокитаївська
894;;Малопiдвальна;Малопiдвальна
629;;Малопідвальна;Малопідвальна
895;;Мануїльського;Мануїльського
221;;Мар'яненка Івана;Мар'яненка Івана
577;;Марганецька;Марганецька
436;;Мартиросяна;Мартиросяна
974;Архипенка Олександра;Мате Залки;Архипенка Олександра / Мате Залки
816;;Мате Залки;Мате Залки
84;;Матеюка;Матеюка
846;;Матеюка Миколи;Матеюка Миколи
1;;Матикіна генерала;Матикіна генерала
473;;Машинобудівна;Машинобудівна
474;;Машинобудівний;Машинобудівний
83;;Маяковського Володимира;Маяковського Володимира
786;;Медова;Медова
320;;Межигірська;Межигірська
132;;Межова;Межова
90;;Межовий;Межовий
418;;Мельникова;Мельникова
395;;Менделеєва;Менделеєва
439;;Металістів;Металістів
690;;Метробудівська;Метробудівська
151;;Метрологічна;Метрологічна
220;;Мечникова;Мечникова
262;;Микитенка Івана;Микитенка Івана
105;;Микільсько-Ботанічна;Микільсько-Ботанічна
738;;Микільсько-Слобідська;Микільсько-Слобідська
233;;Милославська;Милославська
961;Нестайка Всеволода;Мильчакова Олександра;Нестайка Всеволода / Мильчакова Олександра
534;;Мильчакова Олександра;Мильчакова Олександра
345;;Мирного Панаса;Мирного Панаса
238;;Миропільська;Миропільська
681;;Миру;Миру
761;;Мистецька;Мистецька
896;;Михайлiвська;Михайлiвська
897;;Михайлiвський;Михайлiвський
425;;Михайлівська;Михайлівська
302;;Михайлівський;Михайлівський
546;;Мишуги Олександра;Мишуги Олександра
243;;Мілютенка;Мілютенка
582;;Мініна;Мініна
802;;Мінський;Мінський
813;;Міська;Міська
721;;Міцкевича Адама;Міцкевича Адама
965;Ідзиковських сім'ї;Мішина Михайла;Ідзиковських сім'ї / Мішина Михайла
645;;Мішина Михайла;Мішина Михайла
496;;Молдавська;Молдавська
471;;Молодогвардійська;Молодогвардійська
12;;Монтажників;Монтажників
344;;Московська;Московська
1009;Бандери Степана;Московський;Бандери Степана / Московський
862;;Московський;Московський
110;;Мостицька;Мостицька
230;;Моторний;Моторний
358;;Музейний;Музейний
829;;Мукачівська;Мукачівська
470;;Мурашка Миколи;Мурашка Миколи
715;;Муромська;Муромська
144;;Набережно-Корчуватська;Набережно-Корчуватська
670;;Набережно-Лугова;Набережно-Лугова
88;;Набережно-Хрещатицька;Набережно-Хрещатицька
838;;Навашина Академіка;Навашина Академіка
258;;Навої Алішера;Навої Алішера
414;;Нагірна;Нагірна
494;;Нагірний;Нагірний
990;;Назарівська;Назарівська
486;;Народного Ополчення;Народного Ополчення
4;;Науки;Науки
57;;Наумова генерала;Наумова генерала
717;;Невська;Невська
648;;Некрасовська;Некрасовська
367;;Немировича-Данченка;Немировича-Данченка
898;;Несторiвський;Несторiвський
630;;Несторівський;Несторівський
779;;Неходи Івана;Неходи Івана
597;;Нижній Вал;Нижній Вал
608;;Нижньоюрківська;Нижньоюрківська
405;;Ніжинська;Ніжинська
237;;Ніколаєва архітектора;Ніколаєва архітектора
26;;Нікопольська;Нікопольська
363;;Німанська;Німанська
488;;Ніщинського Петра;Ніщинського Петра
664;;Нова;Нова
239;;Новаторів;Новаторів
487;;Новгородська;Новгородська
810;;Новикова-Прибоя;Новикова-Прибоя
587;;Нововокзальна;Нововокзальна
1016;;Новогоспітальна;Новогоспітальна
330;;Новодарницька;Новодарницька
722;;Новокостянтинівська;Новокостянтинівська
739;;Новомостицька;Новомостицька
143;;Новопирогівська;Новопирогівська
482;;Новопольова;Новопольова
843;;Новоросійська;Новоросійська
497;;Новоукраїнська;Новоукраїнська
579;;Оболонська;Оболонська
819;;Оболонський;Оболонський
285;;Обсерваторна;Обсерваторна
461;;Овруцька;Овруцька
748;;Озерна;Озерна
753;;Окіпної Раїси;Окіпної Раїси
428;;Олегівська;Олегівська
899;;Олександрiвська;Олександрiвська
451;;Олександрівська;Олександрівська
485;;Олексіївська;Олексіївська
669;;Оленівська;Оленівська
511;;Олійника;Олійника
758;;Ольгинська;Ольгинська
694;;Ольжича;Ольжича
637;;Онискевича Григорія;Онискевича Григорія
849;;Оноре де Бальзака;Оноре де Бальзака
366;;Орлика Пилипа;Орлика Пилипа
426;;Орловська;Орловська
767;;Орська;Орська
618;;Освіти;Освіти
68;;Осиповського;Осиповського
954;Хомова Ярослава;Островського Миколи;Хомова Ярослава / Островського Миколи
955;Скрипника Мстислава Патріарха;Островського Миколи;Скрипника Мстислава Патріарха / Островського Миколи
421;;Островського Миколи;Островського Миколи
484;;Очаківська;Очаківська
586;;Очаківський;Очаківський
900;;Пiдгiрна;Пiдгiрна
901;;Пiка Вiльгельма;Пiка Вiльгельма
902;;Павлiвська;Павлiвська
460;;Павлівська;Павлівська
268;;Палладіна академіка;Палладіна академіка
575;;Панорамна;Панорамна
565;;Пантелькіна Анатолія;Пантелькіна Анатолія
836;;Панча Петра;Панча Петра
106;;Паньківська;Паньківська
774;;Паркова;Паркова
661;;Паторжинського;Паторжинського
747;;Патріотів;Патріотів
356;;Первомайського Леоніда;Первомайського Леоніда
311;;Перемоги;Перемоги
240;;Перова;Перова
903;;Петлюри Симона;Петлюри Симона
863;;Петра Панча;Петра Панча
537;;Петрицького Анатолія;Петрицького Анатолія
968;Світличного Івана;Петровського;Світличного Івана / Петровського
701;;Петровського;Петровського
402;;Петропавлівська;Петропавлівська
904;;Печенiзька;Печенiзька
412;;Печенізька;Печенізька
314;;Печерський;Печерський
464;;Пимоненка Миколи;Пимоненка Миколи
619;;Пирогова;Пирогова
328;;Пироговського Олександра;Пироговського Олександра
824;;Північна;Північна
343;;Підвисоцького професора;Підвисоцького професора
554;;Підгірна;Підгірна
699;;Піддубного Івана;Піддубного Івана
551;;Підлісна;Підлісна
967;Ружинська;Піка Вільгельма;Ружинська / Піка Вільгельма
695;;Піка Вільгельма;Піка Вільгельма
700;;Пітерська;Пітерська
249;;Плеханова;Плеханова
166;;Плещеєва;Плещеєва
121;;Повітрофлотський;Повітрофлотський
555;;Подвойського;Подвойського
528;;Пожарського;Пожарського
605;;Покровська;Покровська
905;;Полiтехнiчний;Полiтехнiчний
130;;Поліська;Поліська
602;;Поліський;Поліський
854;;Політехнічна;Політехнічна
682;;Політехнічний;Політехнічний
403;;Полкова;Полкова
745;;Полковий;Полковий
304;;Половецька;Половецька
660;;Полтавська;Полтавська
975;Пріорська;Полупанова;Пріорська / Полупанова
831;;Полупанова;Полупанова
839;;Полярна;Полярна
656;;Польовий;Польовий
16;;Попова;Попова
581;;Попудренка;Попудренка
75;;Порика Василя;Порика Василя
776;;Пост-Волинська;Пост-Волинська
277;;Потапова генерала;Потапова генерала
17;;Потебні академіка;Потебні академіка
172;;Потєхіна полковника;Потєхіна полковника
683;;Потьє  Ежена;Потьє  Ежена
604;;Почайнинська;Почайнинська
93;;Правди;Правди
382;;Правобережна;Правобережна
255;;Празька;Празька
257;;Праці;Праці
296;;Предславинська;Предславинська
131;;Привокзальна;Привокзальна
370;;Приймаченко Марії;Приймаченко Марії
857;;Приколійна;Приколійна
533;;Приладний;Приладний
508;;Прилужна;Прилужна
958;Глієра Рейнгольда;Примакова;Глієра Рейнгольда / Примакова
503;;Примакова;Примакова
814;;Приозерна;Приозерна
823;;Прирічна;Прирічна
640;;Притисько-Микільська;Притисько-Микільська
996;;Провіантська;Провіантська
755;;Промислова;Промислова
180;;Прорізна;Прорізна
281;;Пугачова;Пугачова
